"ID","FactorA","FactorB","score"
"S53","A1","B2",1.22
"S54","A1","B2",0.91
"S55","A1","B2",-0.18
"S56","A1","B2",0.92
"S57","A1","B2",0.4
"S58","A1","B2",-0.74
"S59","A1","B2",0.34
"S60","A1","B2",0.07
"S61","A1","B2",0.03
"S62","A1","B2",0.78
"S63","A1","B2",-0.42
"S64","A1","B2",0.86
"S65","A1","B2",-0.82
"S66","A1","B2",1.01
"S67","A1","B2",-0.4
"S68","A1","B2",-0.56
"S69","A1","B2",1.91
"S70","A1","B2",0.39
"S71","A1","B2",3.13
"S72","A1","B2",0.14
"S73","A1","B2",-0.25
"S74","A1","B2",0.84
"S75","A1","B2",0.46
"S76","A1","B2",0.5
"S77","A1","B2",-0.67
"S78","A1","B2",0.88
"S79","A1","B2",0.16
"S80","A1","B2",-1.07
"S81","A1","B2",1.58
"S82","A1","B2",-1.13
"S83","A1","B2",0.03
"S84","A1","B2",0.33
"S85","A1","B2",-0.36
"S86","A1","B2",-0.06
"S87","A1","B2",1.36
"S88","A1","B2",-2.92
"S89","A1","B2",0.28
"S90","A1","B2",-0.29
"S91","A1","B2",0.93
"S92","A1","B2",0.79
"S93","A1","B2",0.18
"S94","A1","B2",1.82
"S95","A1","B2",0.6
"S96","A1","B2",0.09
"S97","A1","B2",2.83
"S98","A1","B2",-0.1
"S99","A1","B2",0.17
"S100","A1","B2",0.24
"S1","A1","B3",0.15
"S2","A1","B3",0.34
"S3","A1","B3",-0.05
"S4","A1","B3",2.33
"S5","A1","B3",0.56
"S6","A1","B3",1.23
"S7","A1","B3",0.35
"S8","A1","B3",0.81
"S9","A1","B3",1.15
"S10","A1","B3",0.39
"S11","A1","B3",2.04
"S12","A1","B3",2.14
"S13","A1","B3",0.21
"S14","A1","B3",0.18
"S15","A1","B3",2.27
"S16","A1","B3",-0.11
"S17","A1","B3",0.31
"S18","A1","B3",0.81
"S19","A1","B3",-0.11
"S20","A1","B3",0.34
"S21","A1","B3",-0.69
"S22","A1","B3",1.53
"S23","A1","B3",-0.14
"S24","A1","B3",1.59
"S25","A1","B3",2.44
"S26","A1","B3",2.36
"S27","A1","B3",0.38
"S28","A1","B3",0.02
"S29","A1","B3",0.24
"S30","A1","B3",0.34
"S31","A1","B3",1.7
"S32","A1","B3",1.84
"S33","A1","B3",0.1
"S34","A1","B3",1.42
"S35","A1","B3",0.75
"S36","A1","B3",1.06
"S37","A1","B3",3.56
"S38","A1","B3",0.88
"S39","A1","B3",0.28
"S40","A1","B3",1.42
"S41","A1","B3",-0.34
"S42","A1","B3",0.53
"S43","A1","B3",1.45
"S44","A1","B3",0.57
"S45","A1","B3",-0.1
"S46","A1","B3",-0.98
"S47","A1","B3",1.54
"S48","A1","B3",-0.43
"S49","A1","B3",1.41
"S50","A1","B3",-0.56
"S51","A1","B3",0.35
"S52","A1","B3",1.01
"S53","A1","B3",-0.22
"S54","A1","B3",2.38
"S55","A1","B3",-0.45
"S56","A1","B3",0.57
"S57","A1","B3",0.9
"S58","A1","B3",-0.27
"S59","A1","B3",-0.28
"S60","A1","B3",0.93
"S61","A1","B3",0.02
"S62","A1","B3",1.45
"S63","A1","B3",-0.23
"S64","A1","B3",0.1
"S65","A1","B3",-0.08
"S66","A1","B3",1.73
"S67","A1","B3",0.49
"S68","A1","B3",0.11
"S69","A1","B3",-0.21
"S70","A1","B3",2.12
"S71","A1","B3",2.34
"S72","A1","B3",-0.24
"S73","A1","B3",0.16
"S74","A1","B3",1.25
"S75","A1","B3",-0.67
"S76","A1","B3",1.48
"S77","A1","B3",0.33
"S78","A1","B3",2.18
"S79","A1","B3",1.54
"S80","A1","B3",-0.66
"S81","A1","B3",0.98
"S82","A1","B3",-1.13
"S83","A1","B3",0.17
"S84","A1","B3",1.6
"S85","A1","B3",1.99
"S86","A1","B3",1.35
"S87","A1","B3",-0.43
"S88","A1","B3",-0.47
"S89","A1","B3",1.66
"S90","A1","B3",0.91
"S91","A1","B3",0.24
"S92","A1","B3",1.99
"S93","A1","B3",1.3
"S94","A1","B3",2.22
"S95","A1","B3",0.5
"S96","A1","B3",1.36
"S97","A1","B3",2.31
"S98","A1","B3",0.38
"S99","A1","B3",2.02
"S100","A1","B3",1.36
"S1","A2","B1",-1.83
"S2","A2","B1",0.44
"S3","A2","B1",-1.63
"S4","A2","B1",1.4
"S5","A2","B1",0.12
"S6","A2","B1",1.19
"S7","A2","B1",1.46
"S8","A2","B1",1.26
"S9","A2","B1",-0.15
"S10","A2","B1",0.69
"S11","A2","B1",0.36
"S12","A2","B1",-0.39
"S13","A2","B1",1.32
"S14","A2","B1",0.23
"S15","A2","B1",-0.88
"S16","A2","B1",-0.04
"S17","A2","B1",2.89
"S18","A2","B1",-0.94
"S19","A2","B1",-0.22
"S20","A2","B1",0.26
"S21","A2","B1",0.56
"S22","A2","B1",0.32
"S23","A2","B1",0.38
"S24","A2","B1",0.7
"S25","A2","B1",0.21
"S26","A2","B1",1.85
"S27","A2","B1",0.21
"S28","A2","B1",0.9
"S29","A2","B1",-0.15
"S30","A2","B1",-0.39
"S31","A2","B1",1.06
"S32","A2","B1",1.85
"S33","A2","B1",-0.79
"S34","A2","B1",-0.18
"S35","A2","B1",0.46
"S36","A2","B1",0.17
"S37","A2","B1",-0.53
"S38","A2","B1",2.3
"S39","A2","B1",1.78
"S40","A2","B1",-0.07
"S41","A2","B1",2.51
"S42","A2","B1",-1.33
"S43","A2","B1",0.65
"S44","A2","B1",-0.75
"S45","A2","B1",0.14
"S46","A2","B1",-0.38
"S47","A2","B1",0.72
"S48","A2","B1",-0.42
"S49","A2","B1",-2.24
"S50","A2","B1",0.44
"S51","A2","B1",-0.47
"S52","A2","B1",0.36
"S53","A2","B1",-0.34
"S54","A2","B1",1.43
"S55","A2","B1",0.42
"S56","A2","B1",1.12
"S57","A2","B1",0.12
"S58","A2","B1",0.17
"S59","A2","B1",0.75
"S60","A2","B1",0.68
"S61","A2","B1",1.3
"S62","A2","B1",-0.93
"S63","A2","B1",0.89
"S64","A2","B1",-0.06
"S65","A2","B1",0.44
"S66","A2","B1",0.06
"S67","A2","B1",-2.46
"S68","A2","B1",0.27
"S69","A2","B1",1.12
"S70","A2","B1",-0.96
"S71","A2","B1",0.43
"S72","A2","B1",0.82
"S73","A2","B1",2.18
"S74","A2","B1",0.36
"S75","A2","B1",-0.55
"S76","A2","B1",2.24
"S77","A2","B1",-0.05
"S78","A2","B1",0.19
"S79","A2","B1",-0.73
"S80","A2","B1",-1.17
"S81","A2","B1",2.13
"S82","A2","B1",0.36
"S83","A2","B1",1.61
"S84","A2","B1",0.25
"S85","A2","B1",0.19
"S86","A2","B1",0.71
"S87","A2","B1",0.98
"S88","A2","B1",-0.32
"S89","A2","B1",1.45
"S90","A2","B1",-0.13
"S91","A2","B1",0.72
"S92","A2","B1",0.06
"S93","A2","B1",2.16
"S94","A2","B1",2.46
"S95","A2","B1",-1
"S96","A2","B1",-0.04
"S97","A2","B1",2.05
"S98","A2","B1",0.77
"S99","A2","B1",1.56
"S100","A2","B1",0.58
"S1","A2","B2",-3.35
"S2","A2","B2",0.4
"S3","A2","B2",-2.18
"S4","A2","B2",1.72
"S5","A2","B2",0.7
"S6","A2","B2",0.01
"S7","A2","B2",1.84
"S8","A2","B2",0.44
"S9","A2","B2",-0.03
"S10","A2","B2",0.58
"S11","A2","B2",1.83
"S12","A2","B2",0.7
"S13","A2","B2",0.34
"S14","A2","B2",-0.16
"S15","A2","B2",-0.06
"S16","A2","B2",0.31
"S17","A2","B2",2.19
"S18","A2","B2",-3.1
"S19","A2","B2",0.01
"S20","A2","B2",-0.23
"S21","A2","B2",0.07
"S22","A2","B2",-0.5
"S23","A2","B2",0.9
"S24","A2","B2",0.24
"S25","A2","B2",-0.43
"S26","A2","B2",0.89
"S27","A2","B2",1.85
"S28","A2","B2",1.89
"S29","A2","B2",-0.97
"S30","A2","B2",-1.18
"S31","A2","B2",1.24
"S32","A2","B2",0.45
"S33","A2","B2",-0.9
"S34","A2","B2",-1.09
"S35","A2","B2",0.62
"S36","A2","B2",0.36
"S37","A2","B2",0.36
"S38","A2","B2",2.64
"S39","A2","B2",1.58
"S40","A2","B2",-0.31
"S41","A2","B2",3
"S42","A2","B2",-2.17
"S43","A2","B2",0.26
"S44","A2","B2",-0.16
"S45","A2","B2",1.77
"S46","A2","B2",1.5
"S47","A2","B2",1.61
"S48","A2","B2",-0.58
"S49","A2","B2",-3.65
"S50","A2","B2",-0.08
"S51","A2","B2",-0.35
"S52","A2","B2",1.21
"S53","A2","B2",-0.23
"S54","A2","B2",1.47
"S55","A2","B2",2.1
"S56","A2","B2",1.54
"S57","A2","B2",-0.66
"S58","A2","B2",0.04
"S59","A2","B2",1.03
"S60","A2","B2",-0.14
"S61","A2","B2",3.41
"S62","A2","B2",-1.67
"S63","A2","B2",0.96
"S64","A2","B2",-0.08
"S65","A2","B2",2.33
"S66","A2","B2",-0.52
"S67","A2","B2",-2.62
"S68","A2","B2",1.29
"S69","A2","B2",0.29
"S70","A2","B2",-0.23
"S71","A2","B2",-1.14
"S72","A2","B2",0.31
"S73","A2","B2",1.78
"S74","A2","B2",0.12
"S75","A2","B2",0.5
"S76","A2","B2",2.78
"S77","A2","B2",0.21
"S78","A2","B2",-1.01
"S79","A2","B2",-1.14
"S80","A2","B2",-0.91
"S81","A2","B2",2.65
"S82","A2","B2",2.15
"S83","A2","B2",1.6
"S84","A2","B2",0.26
"S85","A2","B2",1.34
"S86","A2","B2",1.52
"S87","A2","B2",1.5
"S88","A2","B2",0.41
"S89","A2","B2",0.65
"S90","A2","B2",0.36
"S91","A2","B2",1.11
"S92","A2","B2",0.91
"S93","A2","B2",2.19
"S94","A2","B2",2.39
"S95","A2","B2",-1.35
"S96","A2","B2",2.1
"S97","A2","B2",2.24
"S98","A2","B2",0.92
"S99","A2","B2",1.29
"S100","A2","B2",0.12
"S1","A2","B3",-0.78
"S2","A2","B3",-0.59
"S3","A2","B3",-0.43
"S4","A2","B3",-0.22
"S5","A2","B3",-1.46
"S6","A2","B3",2.27
"S7","A2","B3",0.9
"S8","A2","B3",0.18
"S9","A2","B3",1.24
"S10","A2","B3",-0.16
"S11","A2","B3",-0.81
"S12","A2","B3",-2.1
"S13","A2","B3",1.23
"S14","A2","B3",0.03
"S15","A2","B3",-0.75
"S16","A2","B3",0.17
"S17","A2","B3",2.75
"S18","A2","B3",0.58
"S19","A2","B3",0.73
"S20","A2","B3",1.55
"S21","A2","B3",-2.56
"S22","A2","B3",0.07
"S23","A2","B3",0.67
"S24","A2","B3",-0.4
"S25","A2","B3",-0.76
"S26","A2","B3",1.42
"S27","A2","B3",-1.06
"S28","A2","B3",-1.5
"S29","A2","B3",0.6
"S30","A2","B3",-0.63
"S31","A2","B3",0.32
"S32","A2","B3",2.09
"S33","A2","B3",1.29
"S34","A2","B3",0.21
"S35","A2","B3",1.25
"S36","A2","B3",1.45
"S37","A2","B3",-1.55
"S38","A2","B3",-0.1
"S39","A2","B3",1.49
"S40","A2","B3",0.59
"S41","A2","B3",0.11
"S42","A2","B3",0.43
"S43","A2","B3",0.45
"S44","A2","B3",-0.85
"S45","A2","B3",-1.36
"S46","A2","B3",-0.22
"S47","A2","B3",1.2
"S48","A2","B3",0.95
"S49","A2","B3",-1.75
"S50","A2","B3",1.14
"S51","A2","B3",-0.74
"S52","A2","B3",-1.07
"S53","A2","B3",-0.09
"S54","A2","B3",0.71
"S55","A2","B3",-0.06
"S56","A2","B3",2.01
"S57","A2","B3",0.93
"S58","A2","B3",-0.5
"S59","A2","B3",0.39
"S60","A2","B3",1.93
"S61","A2","B3",1.16
"S62","A2","B3",-2.17
"S63","A2","B3",1.55
"S64","A2","B3",-0.09
"S65","A2","B3",-0.86
"S66","A2","B3",-0.53
"S67","A2","B3",-1.89
"S68","A2","B3",0.52
"S69","A2","B3",1.87
"S70","A2","B3",-0.8
"S71","A2","B3",0.62
"S72","A2","B3",0.36
"S73","A2","B3",3.01
"S74","A2","B3",-0.52
"S75","A2","B3",-0.88
"S76","A2","B3",2.13
"S77","A2","B3",0.71
"S78","A2","B3",0.73
"S79","A2","B3",-1.48
"S80","A2","B3",-1.17
"S81","A2","B3",0.56
"S82","A2","B3",-1.57
"S83","A2","B3",0.75
"S84","A2","B3",1.42
"S85","A2","B3",-2.54
"S86","A2","B3",0.82
"S87","A2","B3",-0.15
"S88","A2","B3",-0.84
"S89","A2","B3",2.05
"S90","A2","B3",0.39
"S91","A2","B3",0.23
"S92","A2","B3",-1.78
"S93","A2","B3",0.63
"S94","A2","B3",-0.28
"S95","A2","B3",0.88
"S96","A2","B3",-1.38
"S97","A2","B3",-0.22
"S98","A2","B3",-1.54
"S99","A2","B3",0.5
"S100","A2","B3",-0.34
